time,position,velocity,acceleration,pingEchoTime
0.000,0.531,,,0.003088
0.050,0.530,-0.02,,0.003083
0.100,0.529,-0.02,0.1,0.003077
0.150,0.529,-0.01,0.1,0.003073
0.200,0.528,0.00,0.1,0.003069
0.250,0.528,0.00,0.1,0.003071
0.300,0.529,0.01,0.0,0.003073
0.350,0.529,0.00,0.0,0.003075
0.400,0.529,0.00,0.1,0.003074
0.450,0.529,0.01,0.1,0.003074
0.500,0.529,0.02,0.1,0.003077
0.550,0.531,0.02,0.0,0.003086
0.600,0.532,0.02,0.0,0.003093
0.650,0.533,0.02,-0.1,0.003098
0.700,0.533,0.01,0.0,0.003101
0.750,0.534,0.01,0.0,0.003105
0.800,0.535,0.02,0.0,0.003109
0.850,0.536,0.01,-0.1,0.003115
0.900,0.536,0.01,-0.1,0.003118
0.950,0.536,0.01,0.0,0.003118
1.000,0.536,0.01,0.0,0.003119
1.050,0.537,0.01,0.0,0.003123
1.100,0.538,0.01,-0.1,0.003126
1.150,0.539,3.40E-4,-0.2,0.003131
1.200,0.538,-0.01,-0.1,0.003127
1.250,0.537,-0.02,-0.1,0.003122
1.300,0.536,-0.02,0.0,0.003116
1.350,0.535,-0.02,0.0,0.003112
1.400,0.535,-0.02,0.0,0.003108
1.450,0.533,-0.02,0.0,0.003101
1.500,0.532,-0.02,0.0,0.003093
1.550,0.531,-0.02,0.1,0.003086
1.600,0.530,-0.01,0.0,0.003083
1.650,0.530,-0.01,0.0,0.003081
1.700,0.529,-0.01,0.0,0.003077
1.750,0.528,-0.01,0.1,0.003071
1.800,0.528,-0.01,0.1,0.003068
1.850,0.528,0.00,0.1,0.003067
1.900,0.528,0.01,0.1,0.003070
1.950,0.529,0.01,0.0,0.003074
2.000,0.529,0.01,0.0,0.003076
2.050,0.529,0.01,0.1,0.003077
2.100,0.530,0.01,0.1,0.003079
2.150,0.531,0.02,0.0,0.003085
2.200,0.532,0.01,-0.2,0.003093
2.250,0.533,-9.41E-4,-0.4,0.003096
2.300,0.532,-0.03,-0.6,0.003092
2.350,0.530,-0.06,-0.9,0.003084
2.400,0.526,-0.11,-1.0,0.003060
2.450,0.519,-0.17,-1.1,0.003018
2.500,0.509,-0.23,-1.1,0.002959
2.550,0.496,-0.28,-1.0,0.002884
2.600,0.481,-0.33,-0.8,0.002794
2.650,0.463,-0.37,-0.6,0.002689
2.700,0.443,-0.39,-0.4,0.002578
2.750,0.423,-0.41,-0.2,0.002461
2.800,0.403,-0.42,0.0,0.002341
2.850,0.381,-0.41,0.3,0.002218
2.900,0.361,-0.39,0.6,0.002097
2.950,0.342,-0.35,0.8,0.001988
3.000,0.325,-0.31,1.1,0.001891
3.050,0.311,-0.25,1.4,0.001807
3.100,0.300,-0.17,1.6,0.001744
3.150,0.293,-0.08,1.9,0.001706
3.200,0.292,0.02,2.1,0.001696
3.250,0.295,0.12,2.5,0.001715
3.300,0.303,0.26,3.1,0.001764
3.350,0.319,0.44,3.4,0.001855
3.400,0.345,0.63,3.1,0.002005
3.450,0.384,0.78,2.2,0.002235
3.500,0.427,0.85,1.2,0.002484
3.550,0.471,0.88,0.7,0.002737
3.600,0.515,0.90,0.5,0.002994
3.650,0.560,0.93,-0.7,0.003257
3.700,0.608,0.93,19.8,0.003537
3.750,0.658,0.63,41.9,0.003823
3.800,0.698,7.15,21.2,0.004058
3.850,0.660,7.27,-44.5,0.003838
3.900,2.752,0.66,-91.1,0.016001
3.950,0.785,-6.22,-49.4,0.004565
4.000,0.772,-6.68,16.6,0.004489
4.050,0.774,-0.20,40.1,0.004502
4.100,0.760,-0.36,19.2,0.004417
4.150,0.736,-0.52,-2.6,0.004280
4.200,0.703,-0.62,-2.3,0.004087
4.250,0.676,-0.72,-2.2,0.003933
4.300,0.634,-0.84,-1.9,0.003687
4.350,0.588,-0.94,-1.2,0.003421
4.400,0.539,-0.97,0.0,0.003135
4.450,0.489,-0.93,1.1,0.002841
4.500,0.442,-0.84,1.7,0.002571
4.550,0.405,-0.73,1.9,0.002355
4.600,0.371,-0.65,2.1,0.002157
4.650,0.339,-0.56,2.7,0.001973
4.700,0.313,-0.40,3.5,0.001820
4.750,0.296,-0.18,4.0,0.001723
4.800,0.295,0.04,3.8,0.001713
4.850,0.303,0.21,3.2,0.001764
4.900,0.318,0.34,3.0,0.001846
4.950,0.337,0.49,3.0,0.001957
5.000,0.364,0.65,2.8,0.002118
5.050,0.403,0.80,2.1,0.002341
5.100,0.446,0.88,1.1,0.002596
5.150,0.493,0.89,0.2,0.002869
5.200,0.537,0.88,-0.1,0.003122
5.250,0.580,0.87,-0.4,0.003371
5.300,0.623,0.86,-1.0,0.003625
5.350,0.668,0.80,-2.0,0.003885
5.400,0.708,0.66,-2.9,0.004113
5.450,0.735,0.48,-3.2,0.004275
5.500,0.755,0.32,-3.3,0.004388
5.550,0.764,0.17,-3.5,0.004440
5.600,0.777,-0.02,-3.9,0.004515
5.650,0.766,-0.23,-4.0,0.004452
5.700,0.748,-0.45,-3.5,0.004350
5.750,0.722,-0.60,-2.6,0.004197
5.800,0.686,-0.70,-1.8,0.003989
5.850,0.649,-0.76,-1.4,0.003773
5.900,0.611,-0.82,-1.2,0.003550
5.950,0.568,-0.90,-0.9,0.003302
6.000,0.520,-0.94,0.1,0.003022
6.050,0.470,-0.91,1.2,0.002735
6.100,0.426,-0.80,2.1,0.002474
6.150,0.390,-0.67,2.3,0.002267
6.200,0.361,-0.56,2.4,0.002097
6.250,0.334,-0.45,2.7,0.001944
6.300,0.314,-0.31,3.3,0.001823
6.350,0.301,-0.11,3.8,0.001752
6.400,0.301,0.10,3.8,0.001752
6.450,0.313,0.28,3.2,0.001820
6.500,0.332,0.42,2.7,0.001931
6.550,0.356,0.54,2.5,0.002070
6.600,0.385,0.66,2.4,0.002237
6.650,0.421,0.79,2.0,0.002450
6.700,0.465,0.89,1.1,0.002706
6.750,0.513,0.92,0.1,0.002982
6.800,0.560,0.88,-0.7,0.003255
6.850,0.602,0.82,-1.1,0.003501
6.900,0.640,0.77,-1.3,0.003721
6.950,0.679,0.71,-2.0,0.003945
7.000,0.714,0.59,-2.8,0.004153
7.050,0.741,0.41,-3.4,0.004308
7.100,0.755,0.22,-3.5,0.004387
7.150,0.762,0.06,-3.2,0.004428
7.200,0.760,-0.09,-3.2,0.004416
7.250,0.753,-0.25,-3.4,0.004376
7.300,0.736,-0.43,-3.6,0.004280
7.350,0.710,-0.63,-3.2,0.004128
7.400,0.675,-0.78,-2.2,0.003923
7.450,0.626,-0.85,-1.0,0.003642
7.500,0.585,-0.85,-0.3,0.003403
7.550,0.545,-0.85,-0.1,0.003168
7.600,0.501,-0.87,0.3,0.002915
7.650,0.456,-0.85,1.2,0.002650
7.700,0.413,-0.75,2.2,0.002400
7.750,0.379,-0.61,2.6,0.002205
7.800,0.353,-0.47,2.7,0.002054
7.850,0.333,-0.34,2.8,0.001937
7.900,0.319,-0.21,3.1,0.001853
7.950,0.311,-0.03,3.5,0.001807
8.000,0.314,0.16,3.6,0.001824
8.050,0.328,0.35,3.1,0.001906
8.100,0.351,0.48,2.5,0.002040
8.150,0.378,0.58,2.1,0.002195
8.200,0.408,0.68,1.9,0.002373
8.250,0.445,0.79,1.6,0.002584
8.300,0.488,0.86,0.9,0.002835
8.350,0.534,0.89,0.0,0.003102
8.400,0.576,0.85,-0.9,0.003350
8.450,0.622,0.78,-1.4,0.003616
8.500,0.654,0.69,-1.7,0.003803
8.550,0.689,0.61,-2.2,0.004009
8.600,0.717,0.50,-2.9,0.004167
8.650,0.743,0.31,-3.5,0.004317
8.700,0.751,0.11,-3.5,0.004364
8.750,0.750,-0.06,-3.1,0.004358
8.800,0.743,-0.19,-2.8,0.004321
8.850,0.732,-0.32,-2.8,0.004254
8.900,0.713,-0.47,-2.9,0.004144
8.950,0.684,-0.62,-2.5,0.003979
9.000,0.649,-0.74,-1.7,0.003774
9.050,0.608,-0.80,-0.9,0.003536
9.100,0.568,-0.81,-0.3,0.003300
9.150,0.527,-0.82,0.1,0.003065
9.200,0.486,-0.82,0.6,0.002825
9.250,0.444,-0.78,1.4,0.002584
9.300,0.405,-0.67,2.3,0.002356
9.350,0.375,-0.53,2.6,0.002179
9.400,0.353,-0.39,2.6,0.002055
9.450,0.338,-0.27,2.6,0.001962
9.500,0.326,-0.15,2.9,0.001897
9.550,0.321,0.01,3.3,0.001865
9.600,0.326,0.20,3.4,0.001895
9.650,0.342,0.38,2.9,0.001988
9.700,0.366,0.50,2.4,0.002129
9.750,0.393,0.60,1.9,0.002287
9.800,0.426,0.69,1.6,0.002475
9.850,0.462,0.77,1.2,0.002685
9.900,0.505,0.81,0.5,0.002935
9.950,0.545,0.83,-0.3,0.003170
10.000,0.586,0.79,-1.1,0.003410
10.050,0.628,0.71,-1.6,0.003653
10.100,0.658,0.61,-1.8,0.003824
10.150,0.686,0.53,-2.1,0.003991
10.200,0.712,0.43,-2.6,0.004142
10.250,0.733,0.27,-2.9,0.004263
10.300,0.740,0.10,-2.7,0.004301
10.350,0.740,0.00,-2.7,0.004300
10.400,0.735,-0.11,-3.3,0.004276
10.450,0.737,-0.32,-3.9,0.004283
