"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"1",0,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"2",0.01,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"3",0.02,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"4",0.03,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"5",0.04,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"6",0.05,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"7",0.06,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"8",0.07,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"9",0.08,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"10",0.09,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"11",0.09999999,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"12",0.11,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"13",0.12,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"14",0.13,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"15",0.14,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"16",0.15,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"17",0.16,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"18",0.17,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"19",0.18,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"20",0.19,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"21",0.2,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"22",0.21,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"23",0.22,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"24",0.23,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"25",0.24,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"26",0.25,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"27",0.26,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"28",0.27,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"29",0.28,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"30",0.29,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"31",0.3,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"32",0.31,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"33",0.32,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"34",0.33,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"35",0.34,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"36",0.35,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"37",0.36,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"38",0.37,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"39",0.38,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"40",0.39,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"41",0.4,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"42",0.41,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"43",0.42,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"44",0.43,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"45",0.44,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"46",0.45,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"47",0.46,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"48",0.47,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"49",0.48,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"50",0.49,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"51",0.5,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"52",0.51,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"53",0.52,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"54",0.53,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"55",0.54,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"56",0.55,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"57",0.56,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"58",0.57,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"59",0.58,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"60",0.59,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"61",0.6,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"62",0.61,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"63",0.62,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"64",0.63,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"65",0.64,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"66",0.65,"m1",1,0,0.5,0.3,0,0,0,0,0,0
"67",0.66,"m1",1,0,0.5,0.3,0,0,2.646e-06,0,0,2.646e-06
"68",0.67,"m1",1,0,0.5,0.3000002,0,0,1.055479e-05,0,0,1.055479e-05
"69",0.68,"m1",1,0,0.5,0.3000003,0,0,1.303105e-05,0,0,1.303105e-05
"70",0.69,"m1",1,0,0.5,0.3000006,0,0,3.389486e-05,0,0,3.389486e-05
"71",0.7,"m1",1,0,0.5,0.300001,0,0,3.597115e-05,0,0,3.597115e-05
"72",0.71,"m1",1,0,0.5,0.3000018,0,0,7.45893e-05,0,0,7.45893e-05
"73",0.72,"m1",1,0,0.5,0.3000028,0,0,9.967895e-05,0,0,9.967895e-05
"74",0.73,"m1",1,0,0.5,0.3000042,0,0,0.000136532,0,0,0.000136532
"75",0.74,"m1",1,0,0.5,0.3000058,0,0,0.0001597474,0,0,0.0001597474
"76",0.75,"m1",1,0,0.5,0.3000081,0,0,0.000223364,0,0,0.000223364
"77",0.76,"m1",1,0,0.5,0.3000106,0,0,0.0002438961,0,0,0.0002438961
"78",0.77,"m1",1,0,0.5,0.300014,0,0,0.000338187,0,0,0.000338187
"79",0.78,"m1",1,0,0.5,0.3000177,0,0,0.0003549221,0,0,0.0003549221
"80",0.79,"m1",1,0,0.5,0.3000226,0,0,0.0004834579,0,0,0.0004834579
"81",0.8,"m1",1,0,0.5,0.3000281,0,0,0.0005399983,0,0,0.0005399983
"82",0.81,"m1",1,0,0.5,0.3000349,0,0,0.0006605642,0,0,0.0006605642
"83",0.82,"m1",1,0,0.5,0.3000426,0,0,0.0007596578,0,0,0.0007596578
"84",0.83,"m1",1,0,0.5,0.3000515,0,0,0.0008702255,0,0,0.0008702255
"85",0.84,"m1",1,0,0.5,0.3000619,0,0,0.001014217,0,0,0.001014217
"86",0.85,"m1",1,0,0.5,0.3000732,0,0,0.00111245,0,0,0.00111245
"87",0.86,"m1",1,0,0.5,0.3000865,0,0,0.001303319,0,0,0.001303319
"88",0.87,"m1",1,0,0.5,0.3001013,0,0,0.001452747,0,0,0.001452747
"89",0.88,"m1",1,0,0.5,0.3001186,0,0,0.001696772,0,0,0.001696772
"90",0.89,"m1",1,0,0.5,0.3001381,0,0,0.001903037,0,0,0.001903037
"91",0.9,"m1",1,0,0.5,0.3001606,0,0,0.002205241,0,0,0.002205241
"92",0.91,"m1",1,0,0.5,0.3001858,0,0,0.002472745,0,0,0.002472745
"93",0.92,"m1",1,0,0.5,0.3002147,0,0,0.002836899,0,0,0.002836899
"94",0.93,"m1",1,0,0.5,0.3002471,0,0,0.003168749,0,0,0.003168749
"95",0.94,"m1",1,0,0.5,0.3002838,0,0,0.003597313,0,0,0.003597313
"96",0.95,"m1",1,0,0.5,0.3003246,0,0,0.003995262,0,0,0.003995262
"97",0.96,"m1",1,0,0.5,0.3003704,0,0,0.00448936,0,0,0.00448936
"98",0.97,"m1",1,0,0.5,0.3004209,0,0,0.004953872,0,0,0.004953872
"99",0.98,"m1",1,0,0.5,0.3004759,0,0,0.00538879,0,0,0.00538879
"100",0.9899999,"m1",1,0,0.5,0.3005376,0,0,0.006044802,0,0,0.006044802
"101",1,"m1",1,0,0.5,0.300603,0,0,0.006410906,0,0,0.006410906
"102",1.01,"m1",1,0,0.5,0.3006757,0,0,0.007125267,0,0,0.007125267
"103",1.02,"m1",1,0,0.5,0.3007528,0,0,0.007553773,0,0,0.007553773
"104",1.03,"m1",1,0,0.5,0.3008377,0,0,0.00832471,0,0,0.00832471
"105",1.04,"m1",1,0,0.5,0.3009277,0,0,0.008813238,0,0,0.008813238
"106",1.05,"m1",1,0,0.5,0.3010244,0,0,0.009481279,0,0,0.009481279
"107",1.06,"m1",1,0,0.5,0.3011267,0,0,0.0100226,0,0,0.0100226
"108",1.07,"m1",1,0,0.5,0.3012346,0,0,0.01057785,0,0,0.01057785
"109",1.08,"m1",1,0,0.5,0.3013486,0,0,0.01116549,0,0,0.01116549
"110",1.09,"m1",1,0,0.5,0.3014669,0,0,0.01159895,0,0,0.01159895
"111",1.1,"m1",1,0,0.5,0.3015917,0,0,0.01222737,0,0,0.01222737
"112",1.11,"m1",1,0,0.5,0.3017219,0,0,0.01276272,0,0,0.01276272
"113",1.12,"m1",1,0,0.5,0.301859,0,0,0.01343229,0,0,0.01343229
"114",1.13,"m1",1,0,0.5,0.302002,0,0,0.01400952,0,0,0.01400952
"115",1.14,"m1",1,0,0.5,0.3021521,0,0,0.01471807,0,0,0.01471807
"116",1.15,"m1",1,0,0.5,0.3023107,0,0,0.0155363,0,0,0.0155363
"117",1.16,"m1",1,0,0.5,0.302479,0,0,0.01649686,0,0,0.01649686
"118",1.17,"m1",1,0,0.5,0.3026561,0,0,0.01735407,0,0,0.01735407
"119",1.18,"m1",1,0,0.5,0.3028433,0,0,0.01834788,0,0,0.01834788
"120",1.19,"m1",1,0,0.5,0.3030396,0,0,0.01923625,0,0,0.01923625
"121",1.2,"m1",1,0,0.5,0.3032463,0,0,0.02025541,0,0,0.02025541
"122",1.21,"m1",1,0,0.5,0.3034647,0,0,0.02141204,0,0,0.02141204
"123",1.22,"m1",1,0,0.5,0.3036938,0,0,0.02245155,0,0,0.02245155
"124",1.23,"m1",1,0,0.5,0.3039349,0,0,0.02362132,0,0,0.02362132
"125",1.24,"m1",1,0,0.5,0.3041866,0,0,0.0246706,0,0,0.0246706
"126",1.25,"m1",1,0,0.5,0.3044503,0,0,0.02584307,0,0,0.02584307
"127",1.26,"m1",1,0,0.5,0.3047247,0,0,0.02689184,0,0,0.02689184
"128",1.27,"m1",1,0,0.5,0.305011,0,0,0.02805693,0,0,0.02805693
"129",1.28,"m1",1,0,0.5,0.3053079,0,0,0.02909535,0,0,0.02909535
"130",1.29,"m1",1,0,0.5,0.3056135,0,0,0.02995363,0,0,0.02995363
"131",1.3,"m1",1,0,0.5,0.3059296,0,0,0.03096962,0,0,0.03096962
"132",1.31,"m1",1,0,0.5,0.3062541,0,0,0.03180518,0,0,0.03180518
"133",1.32,"m1",1,0,0.5,0.3065887,0,0,0.03279319,0,0,0.03279319
"134",1.33,"m1",1,0,0.5,0.3069348,0,0,0.03391362,0,0,0.03391362
"135",1.34,"m1",1,0,0.5,0.3072874,0,0,0.03455312,0,0,0.03455312
"136",1.35,"m1",1,0,0.5,0.307651,0,0,0.03563509,0,0,0.03563509
"137",1.36,"m1",1,0,0.5,0.3080208,0,0,0.03624145,0,0,0.03624145
"138",1.37,"m1",1,0,0.5,0.3084013,0,0,0.03728177,0,0,0.03728177
"139",1.38,"m1",1,0,0.5,0.3087875,0,0,0.03785219,0,0,0.03785219
"140",1.39,"m1",1,0,0.5,0.3091839,0,0,0.03884868,0,0,0.03884868
"141",1.4,"m1",1,0,0.5,0.3095858,0,0,0.0393814,0,0,0.0393814
"142",1.41,"m1",1,0,0.5,0.3099973,0,0,0.04033288,0,0,0.04033288
"143",1.42,"m1",1,0,0.5,0.3104103,0,0,0.04046709,0,0,0.04046709
"144",1.43,"m1",1,0,0.5,0.3108324,0,0,0.04137088,0,0,0.04137088
"145",1.44,"m1",1,0,0.5,0.3112556,0,0,0.04147154,0,0,0.04147154
"146",1.45,"m1",1,0,0.5,0.3116838,0,0,0.04195945,0,0,0.04195945
"147",1.46,"m1",1,0,0.5,0.3121178,0,0,0.04253439,0,0,0.04253439
"148",1.47,"m1",1,0,0.5,0.3125565,0,0,0.0429921,0,0,0.0429921
"149",1.48,"m1",1,0,0.5,0.3130048,0,0,0.04393522,0,0,0.04393522
"150",1.49,"m1",1,0,0.5,0.3134534,0,0,0.04396531,0,0,0.04396531
